AminoAcid,SMILES
ALA,N[C@@H](C)C(=O)O
ARG,N[C@@H](CCCNC(=N)N)C(=O)O
ASN,N[C@@H](CC(=O)N)C(=O)O
ASP,N[C@@H](CC(=O)O)C(=O)O
CYS,N[C@@H](CS)C(=O)O
GLU,N[C@@H](CCC(=O)O)C(=O)O
GLN,N[C@@H](CCC(=O)N)C(=O)O
GLY,NCC(=O)O
HIS,N[C@@H](CC1=CN=CN1)C(=O)O
ILE,N[C@@H](C(C)CC)C(=O)O
LEU,N[C@@H](CC(C)C)C(=O)O
LYS,N[C@@H](CCCCN)C(=O)O
MET,N[C@@H](CCSC)C(=O)O
PHE,N[C@@H](CC1=CC=CC=C1)C(=O)O
PRO,OC(=O)[C@@H]1CCCN1
SER,N[C@@H](CO)C(=O)O
THR,N[C@@H]([C@H](O)C)C(=O)O
TRP,N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)O
TYR,N[C@@H](CC1=CC=C(O)C=C1)C(=O)O
VAL,N[C@@H](C(C)C)C(=O)O
